Item_Id,Date,State_of_Country,Market_Category,Product_Category,Grade,Demand,Low_Cap_Price,High_Cap_Price
IT_1,2007-07-05,0,0,0,0,0.5,2785,4240
IT_2,2007-07-05,0,1,0,0,0.7,3574,4756
IT_3,2007-07-05,0,103,0,1,1.6,5978,9669
IT_4,2007-07-05,0,103,0,0,0,5681,8313
IT_5,2007-07-05,0,103,0,2,0,4924,7257
IT_6,2007-07-05,0,164,0,0,0,2508,4792
IT_7,2007-07-05,0,235,0,2,1.3,2861,5334
IT_8,2007-07-05,0,301,1,0,0.5,2274,3802
IT_9,2007-07-05,0,367,0,0,1.7,2363,5265
IT_10,2007-07-05,0,436,0,0,0.3,1838,3534
IT_11,2007-07-05,0,450,0,0,0.5,2991,4981
IT_12,2007-07-05,0,461,1,0,0.8,2431,4083
IT_13,2007-07-05,11,2,0,1,9.8,5303,8508
IT_14,2007-07-05,17,13,0,3,0,332,2312
IT_15,2007-07-05,18,23,10,2,724.3,1390,5665
IT_16,2007-07-05,18,23,11,2,0,4441,10673
IT_17,2007-07-05,18,23,12,2,0,5779,11170
IT_20,2007-07-05,20,55,0,0,0.4,2750,3687
IT_22,2007-07-05,20,73,0,0,0.1,1468,2081
IT_23,2007-07-05,20,84,10,0,0.1,3493,5407
IT_24,2007-07-05,20,94,0,2,0,1041,3604
IT_25,2007-07-05,20,104,13,0,3.3,1055,4158
IT_26,2007-07-05,20,114,14,0,1.3,1756,4078
IT_27,2007-07-05,20,124,0,0,2.3,2568,3211
IT_28,2007-07-05,20,131,10,0,0.3,2331,6115
IT_29,2007-07-05,20,137,0,0,1.1,2447,6591
IT_30,2007-07-05,20,138,0,0,2.4,2915,5156
IT_31,2007-07-05,21,141,0,0,1.8,3536,4973
IT_33,2007-07-05,21,156,0,0,29.2,3945,6078
IT_34,2007-07-05,21,162,0,1,2.3,3945,5265
IT_35,2007-07-05,21,165,0,0,9.4,2468,3985
IT_41,2007-07-05,21,205,10,0,0.2,2615,4123
IT_42,2007-07-05,21,211,0,0,0.4,3571,4629
